x0,x1,y0,y1,v,a,r
123.0,267.0,-28.0,-80.0,10.0,0.0,1.0
119.0,263.0,-19.0,-71.0,-9.0,1.0,1.0
115.0,259.0,-10.0,-62.0,-8.0,0.0,1.0
111.0,255.0,-2.0,-54.0,-7.0,0.0,1.0
107.0,251.0,5.0,-47.0,-6.0,0.0,1.0
103.0,247.0,11.0,-41.0,-5.0,0.0,1.0
99.0,243.0,16.0,-36.0,-4.0,0.0,1.0
95.0,239.0,20.0,-32.0,-3.0,0.0,1.0
91.0,235.0,23.0,-29.0,-2.0,0.0,1.0
87.0,231.0,25.0,-27.0,-1.0,0.0,1.0
83.0,227.0,26.0,-26.0,0.0,0.0,1.0
79.0,223.0,26.0,-26.0,1.0,0.0,1.0
75.0,219.0,25.0,-27.0,2.0,0.0,1.0
71.0,215.0,23.0,-29.0,3.0,0.0,1.0
67.0,211.0,20.0,-32.0,4.0,0.0,1.0
63.0,207.0,16.0,-36.0,5.0,0.0,1.0
59.0,203.0,11.0,-41.0,6.0,0.0,1.0
55.0,199.0,5.0,-47.0,7.0,0.0,1.0
51.0,195.0,-2.0,-54.0,8.0,0.0,1.0
47.0,191.0,-10.0,-62.0,9.0,0.0,1.0
